TweetDate,TweetText,TweetAuthor,TweetLocation,AllHashtags
2021-03-25 23:47:01,"RT @akaiawa: 15%OFF sitewide sale ends today @redbubble
Code: MAGIC15
Your next 💉 's outfit sorted!!😆
I'm not scared of needles!! T-Shirt
h…",akaiawa,,[]
2021-03-25 23:46:56,"RT @akaiawa: Are you having the coronavirus vaccine soon? Wear 👇🏻 T-Shirt😉
15% OFF ends today 
Code: MAGIC15

I'm not scared of needles!! P…",akaiawa,,[]
2021-03-25 23:46:45,"RT @Kan__Fatima: It must be the least harmful drug of Sunjay Dutt’s life 😁
#Covid_19 
#COVID19Vaccine https://t.co/yLGZ5BDjDm",Zhbabar05,Pakistan,"['Covid_19', 'COVID19Vaccine']"
2021-03-25 23:46:43,"RT @VAYLANOLA: Covid-19 vaccines will be available for everyone in Louisiana over 16 years old beginning March 29.

Visit https://t.co/wqG2…",nolaready,"New Orleans, LA",[]
2021-03-25 23:46:28,RT @phinandme: My new job at a vaccination site has me so busy these days! Sending love ❤️ and good vibes 😎 to my Twitter family and friend…,SARA2001NOOR,🌍🌐,[]
2021-03-25 23:46:23,Oh. I also have a headache. #covidvaccine,tkrimms,Preferably a coffee shop.,['covidvaccine']
2021-03-25 23:46:19,RT @phinandme: My new job at a vaccination site has me so busy these days! Sending love ❤️ and good vibes 😎 to my Twitter family and friend…,ALOVEFarmer,"The Grove, OR  @love_csa",[]
2021-03-25 23:46:08,"RT @camwolfe: I’m so proud of my “fellow Fellow”, ⁦@snaggie1⁩ , hubby ⁦@CharlesJGerardo⁩ and most importantly, their wonderful daughters!!…",4_kidney,"Stanford, CA",[]
2021-03-25 23:45:53,"1 Rite Aids show #CovidVaccine slots in VA:
Portsmouth (23701)
https://t.co/ZqarnP6tEX",FinderVaccine,,['CovidVaccine']
2021-03-25 23:45:50,"RT @Cal_OES: 🚨ALERT!!🚨More Californians will soon be eligible to receive their #CovidVaccine! #VaccinesWork #VaccineEquity 
➡️Starting Apri…",Hijadelasorisha,United States,"['CovidVaccine', 'VaccinesWork', 'VaccineEquity']"
2021-03-25 23:45:29,RT @CharlesJGerardo: What do you get when you cross an Infectious Diseases expert with an Emergency Physician? Two girls who participate in…,JohnPurakal,,[]
2021-03-25 23:45:27,"RT @MaryLTrump: It's been a long fucking year. Have a donut.

#KrispyKreme #vaccinated",organizedds,Stacey P. Rodriguez,"['KrispyKreme', 'vaccinated']"
